,date,title,url,index,index_similarity,title_similar_index
3065,2022.05.12.,10년 키워준 친할머니 살해 10대 형제 항소 기각,https://news.kmib.co.kr/article/view.asp?arcid=0017068903&code=61122020&cp=nv,3065$,3065$10년 키워준 친할머니 살해 10대 형제 항소 기각,[]
3066,2022.05.01.,오역이 부른 참극…동료 살해한 중국인 징역 20년,http://sjbnews.com/news/news.php?number=744059,3066$,3066$오역이 부른 참극…동료 살해한 중국인 징역 20년,[]
3067,2022.05.17.,"""신체 피해 없어"" 법원, 옛 애인 스토킹‧살해 시도 남성에 '징역 3년'",http://www.womennews.co.kr/news/articleView.html?idxno=223509,3067$,"3067$""신체 피해 없어"" 법원, 옛 애인 스토킹‧살해 시도 남성에 '징역 3년'",[]
3068,2022.05.03.,망상에 빠져 어머니 살해...30대 아들 징역 15년 확정,https://www.ytn.co.kr/_ln/0103_202205031222286817,3068$,3068$망상에 빠져 어머니 살해...30대 아들 징역 15년 확정,[]
3069,2022.05.11.,수억 원 빼돌리고 들키자 점주 살해...2심 징역 17년,https://www.ytn.co.kr/_ln/0103_202205111634261758,3069$,3069$수억 원 빼돌리고 들키자 점주 살해...2심 징역 17년,[]
3070,2022.05.18.,'독극물 먹여 남편 살해' 30대 아내… 징역 30년 선고,http://www.thereport.co.kr/news/articleView.html?idxno=14746,3070$,3070$'독극물 먹여 남편 살해' 30대 아내… 징역 30년 선고,[]
3071,2022.05.11.,수차례 가정폭력 일삼다가 징역형…출소 후 아내 잔혹 살해한 남편에 징역 25년 구형,http://www.segye.com/content/html/2022/05/11/20220511509766.html?OutUrl=naver,3071$,3071$수차례 가정폭력 일삼다가 징역형…출소 후 아내 잔혹 살해한 남편에 징역 25년 구형,[]
3072,2022.05.19.,제주 중학생 살해…백광석과 김시남 대법원 상고,https://www.nocutnews.co.kr/news/5759031,3072$,3072$제주 중학생 살해…백광석과 김시남 대법원 상고,[]
3073,2022.05.11.,"‘前동거녀 아들 살해’ 백광석·김시남, 2심서도 징역 30년·27년",https://biz.chosun.com/topics/law_firm/2022/05/11/SU5X4W7PQJH2PLBZI2AGAFCMVI/?utm_source=naver&utm_medium=original&utm_campaign=biz,3073$,"3073$‘前동거녀 아들 살해’ 백광석·김시남, 2심서도 징역 30년·27년",[]
3074,2022.05.17.,"‘신변보호’ 전 여친 찾아가 신나 뿌린 50대, 징역형",https://news.kmib.co.kr/article/view.asp?arcid=0017085763&code=61121211&cp=nv,3074$,"3074$‘신변보호’ 전 여친 찾아가 신나 뿌린 50대, 징역형",[]
